Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Citroen,C5,0.7,Universal,0.23999923999924,0.2916666666666667,Diesel,Manual,0.025050100200400802
Mercedes,C Class,0.88,Sedan,0.074999074999075,0.375,Petrol,Automatic,0.18837675350701402
BMW,X3,0.76,SUV,0.191999191999192,0.0,Diesel,Manual,0.10821643286573146
Ford,Fiesta 5D,0.8,Hatchback,0.12999912999913,0.25,Metan/Propan,Manual,0.045090180360721446
Volvo,XC90,0.88,SUV,0.17999917999918,0.375,Petrol,Automatic,0.2635270541082164
Renault,Megane,0.86,Universal,0.20999920999921,0.2708333333333333,Diesel,Manual,0.07013026052104208
BMW,5 Series,0.92,Sedan,0.076999076999077,0.375,Diesel,Automatic,0.3286573146292585
Hyundai,Santa FE,0.82,SUV,0.17999917999918,0.4166666666666667,Diesel,Automatic,0.1658316633266533
Skoda,Superb,0.82,Sedan,0.195999195999196,0.2916666666666667,Diesel,Manual,0.09769539078156313
BMW,X3,0.88,Crossover,0.158999158999159,0.37416666666666665,Diesel,Automatic,0.20340681362725452
Nissan,Note,0.84,Hatchback,0.171999171999172,0.2627083333333333,Diesel,Manual,0.061112224448897794
Toyota,Rav 4,0.96,Crossover,0.018999018999019,0.4791666666666667,Hybrid,Automatic,0.2985971943887776
Volvo,XC90,0.88,SUV,0.154999154999155,0.37416666666666665,Petrol,Automatic,0.27655310621242485
Lexus,CT Series,0.9,Hatchback,0.063999063999064,0.3329166666666667,Hybrid,Automatic,0.15831663326653306
Renault,Grand Modus,0.8,Hatchback,0.173999173999174,0.2627083333333333,Diesel,Manual,0.0435871743486974
Toyota,Auris,0.78,Hatchback,0.186999186999187,0.25,Diesel,Manual,0.06312625250501001
Toyota,Auris,0.72,Hatchback,0.234999234999235,0.2708333333333333,Diesel,Manual,0.052104208416833664
BMW,7 Series,0.92,Sedan,0.091999091999092,0.581875,Diesel,Automatic,0.44889779559118237
Volkswagen,Caddy,0.86,Minivan,0.17999917999918,0.2916666666666667,Diesel,Manual,0.056112224448897796
Opel,Corsa,0.8,Hatchback,0.124999124999125,0.22916666666666666,Diesel,Manual,0.03557114228456914
Honda,CR-V,0.84,Crossover,0.191999191999192,0.4166666666666667,Diesel,Automatic,0.17334669338677355
